# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	401591	402115	-							XJ32_01845	525		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	401591	402115	-	AQQ59055.1			hypothetical protein			XJ32_01845	525	174	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	402132	402686	-							XJ32_01850	555		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	402132	402686	-	AQQ59056.1			hypothetical protein			XJ32_01850	555	184	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	402688	403566	-							XJ32_01855	879		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	402688	403566	-	AQQ59057.1			prenyltransferase			XJ32_01855	879	292	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	403917	404603	+							XJ32_01860	687		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	403917	404603	+	AQQ59058.1			ribonuclease III			XJ32_01860	687	228	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	404684	405094	-							XJ32_01865	411		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	404684	405094	-	AQQ59059.1			hypothetical protein			XJ32_01865	411	136	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	405172	405408	-							XJ32_01870	237		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	405172	405408	-	AQQ59060.1			hypothetical protein			XJ32_01870	237	78	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	406180	406734	-				hypothetical protein			XJ32_01875	555		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	407194	408882	-							XJ32_01880	1689		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	407194	408882	-	AQQ59061.1			2-isopropylmalate synthase			XJ32_01880	1689	562	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	409254	410570	+							XJ32_01885	1317		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	409254	410570	+	AQQ60626.1			histidyl-tRNA synthase			XJ32_01885	1317	438	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	410913	411848	+							XJ32_01890	936		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	410913	411848	+	AQQ59062.1			2-hydroxyacid dehydrogenase			XJ32_01890	936	311	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	412211	413281	-							XJ32_01895	1071		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	412211	413281	-	AQQ59063.1			hypothetical protein			XJ32_01895	1071	356	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	413684	414784	+					ychF		XJ32_01900	1101		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	413684	414784	+	AQQ59064.1			GTP-binding protein	ychF		XJ32_01900	1101	366	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	415040	415870	+							XJ32_01905	831		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	415040	415870	+	AQQ59065.1			hypothetical protein			XJ32_01905	831	276	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	415997	416632	-							XJ32_01910	636		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	415997	416632	-	AQQ59066.1			hypothetical protein			XJ32_01910	636	211	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	416902	418245	+							XJ32_01915	1344		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	416902	418245	+	AQQ59067.1			MFS transporter			XJ32_01915	1344	447	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	418245	418793	+							XJ32_01920	549		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	418245	418793	+	AQQ59068.1			membrane protein			XJ32_01920	549	182	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	418971	419909	+							XJ32_01925	939		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	418971	419909	+	AQQ59069.1			NAD-dependent dehydratase			XJ32_01925	939	312	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	420304	421323	+							XJ32_01930	1020		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	420304	421323	+	AQQ59070.1			membrane protein			XJ32_01930	1020	339	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	421557	422034	-				hypothetical protein			XJ32_01935	478		pseudo
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	422944	423545	+				hypothetical protein			XJ32_01940	602		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	423594	424148	+							XJ32_01945	555		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	423594	424148	+	AQQ59071.1			hypothetical protein			XJ32_01945	555	184	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	424653	425369	+							XJ32_01950	717		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	424653	425369	+	AQQ60627.1			DNA polymerase III subunit delta			XJ32_01950	717	238	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	425366	426943	+							XJ32_01955	1578		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	425366	426943	+	AQQ59072.1			dihydropteroate synthase			XJ32_01955	1578	525	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	427177	427698	+							XJ32_01960	522		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	427177	427698	+	AQQ59073.1			hypothetical protein			XJ32_01960	522	173	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	429012	429785	+							XJ32_01965	774		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	429012	429785	+	AQQ59074.1			hypothetical protein			XJ32_01965	774	257	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	429798	430709	+							XJ32_01970	912		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	429798	430709	+	AQQ59075.1			hypothetical protein			XJ32_01970	912	303	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	430739	431047	+							XJ32_01975	309		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	430739	431047	+	AQQ59076.1			hypothetical protein			XJ32_01975	309	102	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	431071	431850	+							XJ32_01980	780		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	431071	431850	+	AQQ59077.1			hypothetical protein			XJ32_01980	780	259	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	431970	433172	-							XJ32_01985	1203		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	431970	433172	-	AQQ59078.1			aspartate kinase			XJ32_01985	1203	400	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	433172	433651	-							XJ32_01990	480		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	433172	433651	-	AQQ59079.1			RNA pyrophosphohydrolase			XJ32_01990	480	159	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	433928	435136	+							XJ32_01995	1209		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	433928	435136	+	AQQ59080.1			lytic transglycosylase			XJ32_01995	1209	402	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	435138	436973	+							XJ32_02000	1836		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	435138	436973	+	AQQ59081.1			hypothetical protein			XJ32_02000	1836	611	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	437003	437617	+							XJ32_02005	615		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	437003	437617	+	AQQ59082.1			guanylate kinase			XJ32_02005	615	204	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	437788	438063	+							XJ32_02010	276		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	437788	438063	+	AQQ59083.1			preprotein translocase subunit TatA			XJ32_02010	276	91	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	438287	439903	+							XJ32_02015	1617		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	438287	439903	+	AQQ60628.1			arginyl-tRNA synthetase			XJ32_02015	1617	538	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	440120	441016	+							XJ32_02020	897		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	440120	441016	+	AQQ59084.1			hypothetical protein			XJ32_02020	897	298	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	441172	441450	+							XJ32_02025	279		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	441172	441450	+	AQQ59085.1			hypothetical protein			XJ32_02025	279	92	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	441463	442002	+							XJ32_02030	540		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	441463	442002	+	AQQ59086.1			hypothetical protein			XJ32_02030	540	179	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	442040	443317	+							XJ32_02035	1278		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	442040	443317	+	AQQ59087.1			hypothetical protein			XJ32_02035	1278	425	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	443433	444719	+							XJ32_02040	1287		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	443433	444719	+	AQQ59088.1			homoserine dehydrogenase			XJ32_02040	1287	428	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	444719	445651	+							XJ32_02045	933		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	444719	445651	+	AQQ59089.1			hypothetical protein			XJ32_02045	933	310	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	445822	446130	-							XJ32_02050	309		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	445822	446130	-	AQQ59090.1			hypothetical protein			XJ32_02050	309	102	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	446121	446408	-							XJ32_02055	288		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	446121	446408	-	AQQ59091.1			hypothetical protein			XJ32_02055	288	95	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	446497	448212	-							XJ32_02060	1716		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	446497	448212	-	AQQ60629.1			membrane protein			XJ32_02060	1716	571	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	450601	451155	+				hypothetical protein			XJ32_02065	555		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	454504	454821	+							XJ32_02070	318		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	454504	454821	+	AQQ59092.1			hypothetical protein			XJ32_02070	318	105	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	455061	455309	-							XJ32_02075	249		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	455061	455309	-	AQQ59093.1			hypothetical protein			XJ32_02075	249	82	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	455287	455865	-							XJ32_02080	579		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	455287	455865	-	AQQ59094.1			hypothetical protein			XJ32_02080	579	192	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	456291	456809	+							XJ32_02085	519		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	456291	456809	+	AQQ59095.1			hypothetical protein			XJ32_02085	519	172	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	456821	457207	+							XJ32_02090	387		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	456821	457207	+	AQQ59096.1			hypothetical protein			XJ32_02090	387	128	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	458327	459412	+							XJ32_02095	1086		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	458327	459412	+	AQQ60630.1			hypothetical protein			XJ32_02095	1086	361	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	459865	461028	+							XJ32_02100	1164		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	459865	461028	+	AQQ60631.1			structural protein			XJ32_02100	1164	387	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	461345	462010	+							XJ32_02105	666		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	461345	462010	+	AQQ59097.1			hypothetical protein			XJ32_02105	666	221	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	462283	464526	+							XJ32_02110	2244		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	462283	464526	+	AQQ59098.1			hypothetical protein			XJ32_02110	2244	747	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	464608	465903	-							XJ32_02115	1296		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	464608	465903	-	AQQ59099.1			ribosomal protein S12 methylthiotransferase			XJ32_02115	1296	431	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	466346	468541	+							XJ32_02120	2196		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	466346	468541	+	AQQ59100.1			ferric receptor CfrA			XJ32_02120	2196	731	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	468926	470119	+							XJ32_02125	1194		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	468926	470119	+	AQQ59101.1			hypothetical protein			XJ32_02125	1194	397	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	470245	471108	+							XJ32_02130	864		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	470245	471108	+	AQQ59102.1			hypothetical protein			XJ32_02130	864	287	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	471243	471782	-							XJ32_02135	540		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	471243	471782	-	AQQ59103.1			histidine kinase			XJ32_02135	540	179	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	471880	472965	+							XJ32_02140	1086		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	471880	472965	+	AQQ60632.1			tRNA pseudouridine synthase			XJ32_02140	1086	361	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	472959	473252	+							XJ32_02145	294		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	472959	473252	+	AQQ59104.1			carbon storage regulator			XJ32_02145	294	97	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	473576	474124	-							XJ32_02150	549		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	473576	474124	-	AQQ59105.1			FkbM family methyltransferase			XJ32_02150	549	182	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	474157	474504	-							XJ32_02155	348		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	474157	474504	-	AQQ59106.1			hypothetical protein			XJ32_02155	348	115	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	474639	476876	-					flhA		XJ32_02160	2238		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	474639	476876	-	AQQ59107.1			flagellar biosynthesis protein FlhA	flhA		XJ32_02160	2238	745	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	477106	477381	+							XJ32_02165	276		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	477106	477381	+	AQQ59108.1			30S ribosomal protein S15			XJ32_02165	276	91	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	477859	479322	+							XJ32_02170	1464		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	477859	479322	+	AQQ59109.1			cbb3-type cytochrome c oxidase subunit I			XJ32_02170	1464	487	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	479332	480030	+							XJ32_02175	699		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	479332	480030	+	AQQ59110.1			peptidase S13			XJ32_02175	699	232	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	480055	480288	+							XJ32_02180	234		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	480055	480288	+	AQQ59111.1			cytochrome C oxidase subunit III			XJ32_02180	234	77	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	480291	481178	+							XJ32_02185	888		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	480291	481178	+	AQQ59112.1			cb-type cytochrome C oxidase subunit III			XJ32_02185	888	295	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	481193	481402	+							XJ32_02190	210		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	481193	481402	+	AQQ59113.1			hypothetical protein			XJ32_02190	210	69	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	481520	482281	+							XJ32_02195	762		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	481520	482281	+	AQQ59114.1			hypothetical protein			XJ32_02195	762	253	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	482284	482904	+							XJ32_02200	621		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	482284	482904	+	AQQ59115.1			hypothetical protein			XJ32_02200	621	206	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	482920	483345	+							XJ32_02205	426		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	482920	483345	+	AQQ59116.1			ribonuclease P protein component			XJ32_02205	426	141	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	484505	484720	+							XJ32_02210	216		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	484505	484720	+	AQQ59117.1			hypothetical protein			XJ32_02210	216	71	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	485384	486319	+							XJ32_02215	936		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	485384	486319	+	AQQ59118.1			hypothetical protein			XJ32_02215	936	311	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	486650	487723	+							XJ32_02220	1074		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	486650	487723	+	AQQ59119.1			3-isopropylmalate dehydrogenase			XJ32_02220	1074	357	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	488089	490122	-							XJ32_02225	2034		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	488089	490122	-	AQQ59120.1			ATP-dependent DNA helicase			XJ32_02225	2034	677	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	490217	490972	-							XJ32_02230	756		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	490217	490972	-	AQQ60633.1			RluA family pseudouridine synthase			XJ32_02230	756	251	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	491085	492647	-							XJ32_02235	1563		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	491085	492647	-	AQQ60634.1			anion transporter			XJ32_02235	1563	520	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	492861	493370	-							XJ32_02240	510		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	492861	493370	-	AQQ59121.1			hypothetical protein			XJ32_02240	510	169	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	493391	493975	-							XJ32_02245	585		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	493391	493975	-	AQQ59122.1			hypothetical protein			XJ32_02245	585	194	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	493985	496261	-							XJ32_02250	2277		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	493985	496261	-	AQQ59123.1			hypothetical protein			XJ32_02250	2277	758	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	496252	498609	-							XJ32_02255	2358		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	496252	498609	-	AQQ59124.1			ribonucleotide-diphosphate reductase subunit alpha			XJ32_02255	2358	785	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	498619	499254	-							XJ32_02260	636		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	498619	499254	-	AQQ59125.1			NAD(P)H-flavin oxidoreductase			XJ32_02260	636	211	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	500148	500848	-				ankryin			XJ32_02265	701		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	501073	502242	-							XJ32_02270	1170		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	501073	502242	-	AQQ59126.1			hypothetical protein			XJ32_02270	1170	389	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	502381	504507	+							XJ32_02275	2127		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	502381	504507	+	AQQ59127.1			dihydroxy-acid dehydratase			XJ32_02275	2127	708	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	504545	506410	+							XJ32_02280	1866		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	504545	506410	+	AQQ59128.1			hypothetical protein			XJ32_02280	1866	621	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	506498	506806	+							XJ32_02285	309		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	506498	506806	+	AQQ59129.1			hypothetical protein			XJ32_02285	309	102	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	506995	507546	-							XJ32_02290	552		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	506995	507546	-	AQQ59130.1			toxin			XJ32_02290	552	183	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	507561	508385	-							XJ32_02295	825		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	507561	508385	-	AQQ59131.1			cytolethal distending toxin subunit CdtB			XJ32_02295	825	274	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	508396	509118	-							XJ32_02300	723		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	508396	509118	-	AQQ59132.1			toxin			XJ32_02300	723	240	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	509740	510213	-							XJ32_02305	474		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	509740	510213	-	AQQ59133.1			hypothetical protein			XJ32_02305	474	157	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	510531	511241	-							XJ32_02310	711		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	510531	511241	-	AQQ59134.1			hypothetical protein			XJ32_02310	711	236	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	511320	511532	+							XJ32_02315	213		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	511320	511532	+	AQQ59135.1			hypothetical protein			XJ32_02315	213	70	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	511742	511988	+				hypothetical protein			XJ32_02320	247		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	512159	512599	+							XJ32_02325	441		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	512159	512599	+	AQQ59136.1			hypothetical protein			XJ32_02325	441	146	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	513175	514617	+							XJ32_02330	1443		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	513175	514617	+	AQQ59137.1			argininosuccinate lyase			XJ32_02330	1443	480	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	514631	515437	+							XJ32_02335	807		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	514631	515437	+	AQQ59138.1			DNA polymerase III subunit epsilon			XJ32_02335	807	268	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	515954	516151	-							XJ32_02340	198		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	515954	516151	-	AQQ59139.1			hypothetical protein			XJ32_02340	198	65	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	516292	516492	+							XJ32_02345	201		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	516292	516492	+	AQQ59140.1			50S ribosomal protein L31			XJ32_02345	201	66	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	516821	517264	-							XJ32_02350	444		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	516821	517264	-	AQQ59141.1			50S ribosomal protein L9			XJ32_02350	444	147	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	517329	517991	+							XJ32_02355	663		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	517329	517991	+	AQQ59142.1			hypothetical protein			XJ32_02355	663	220	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	518018	518482	-							XJ32_02360	465		
