# SignalP-5.0	Organism: Gram-negative	Timestamp: 20191213082136
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
BAM32690.1	OTHER	0.002183	0.000258	0.000165	0.997394	
BAM32691.1	OTHER	0.008170	0.000668	0.001907	0.989255	
BAM32694.1	OTHER	0.011997	0.002610	0.002701	0.982692	
BAM32695.1	OTHER	0.004525	0.001276	0.001108	0.993091	
BAM32696.1	OTHER	0.007208	0.002301	0.005054	0.985438	
BAM32699.1	OTHER	0.001496	0.000687	0.000146	0.997672	
BAM32700.1	OTHER	0.024046	0.000692	0.007471	0.967790	
BAM32701.1	OTHER	0.032114	0.006843	0.020299	0.940745	
BAM32702.1	OTHER	0.020501	0.002004	0.004636	0.972860	
BAM32705.1	OTHER	0.014291	0.001279	0.003829	0.980601	
BAM32707.1	OTHER	0.034962	0.010380	0.007992	0.946667	
BAM32708.1	OTHER	0.000215	0.000174	0.000308	0.999304	
BAM32710.1	OTHER	0.004723	0.002624	0.001217	0.991436	
BAM32711.1	OTHER	0.039829	0.024655	0.015122	0.920395	
BAM32712.1	OTHER	0.001981	0.002925	0.000149	0.994945	
BAM32713.1	OTHER	0.010221	0.001203	0.003271	0.985305	
BAM32716.1	SP(Sec/SPI)	0.994985	0.000353	0.004112	0.000550	CS pos: 20-21. AYA-ES. Pr: 0.9174
BAM32717.1	SP(Sec/SPI)	0.990751	0.000156	0.008620	0.000473	CS pos: 20-21. VNA-QS. Pr: 0.9716
BAM32718.1	OTHER	0.015325	0.001055	0.005433	0.978188	
BAM32719.1	OTHER	0.001129	0.000643	0.000333	0.997896	
BAM32722.1	OTHER	0.001351	0.000040	0.007673	0.990936	
BAM32724.1	OTHER	0.002369	0.000409	0.000351	0.996871	
BAM32725.1	OTHER	0.003413	0.000423	0.000383	0.995781	
BAM32726.1	OTHER	0.003650	0.000196	0.000524	0.995629	
BAM32728.1	OTHER	0.008029	0.000700	0.001660	0.989611	
BAM32729.1	OTHER	0.056663	0.000751	0.020292	0.922293	
BAM32730.1	SP(Sec/SPI)	0.737762	0.000708	0.196989	0.064542	CS pos: 16-17. LFA-NE. Pr: 0.7241
BAM32736.1	LIPO(Sec/SPII)	0.413440	0.000331	0.570551	0.015679	CS pos: 14-15. ISI-CM. Pr: 0.5122
BAM32741.1	OTHER	0.004204	0.001374	0.001006	0.993415	
BAM32742.1	OTHER	0.001640	0.000032	0.000764	0.997564	
BAM32743.1	OTHER	0.006371	0.000600	0.001178	0.991851	
BAM32744.1	OTHER	0.002397	0.000110	0.003341	0.994152	
BAM32745.1	OTHER	0.008291	0.002285	0.004476	0.984948	
BAM32747.1	OTHER	0.002369	0.000409	0.000351	0.996871	
BAM32748.1	OTHER	0.001120	0.000180	0.000208	0.998492	
BAM32749.1	OTHER	0.003468	0.002505	0.000812	0.993215	
BAM32750.1	OTHER	0.005935	0.002170	0.001587	0.990308	
BAM32751.1	OTHER	0.005268	0.001702	0.001658	0.991373	
BAM32754.1	OTHER	0.002774	0.000481	0.000444	0.996301	
BAM32755.1	OTHER	0.005585	0.002338	0.000359	0.991718	
BAM32756.1	OTHER	0.003457	0.000467	0.001035	0.995042	
BAM32757.1	OTHER	0.003950	0.000536	0.000721	0.994794	
BAM32760.1	OTHER	0.004857	0.000926	0.000565	0.993652	
BAM32761.1	SP(Sec/SPI)	0.917941	0.000210	0.080537	0.001312	CS pos: 17-18. AFG-AE. Pr: 0.7480
BAM32763.1	SP(Sec/SPI)	0.930893	0.000264	0.058543	0.010300	CS pos: 15-16. GHA-QD. Pr: 0.7158
BAM32770.1	SP(Sec/SPI)	0.845204	0.000971	0.023453	0.130371	CS pos: 27-28. IFA-NP. Pr: 0.7527
BAM32771.1	OTHER	0.005479	0.000054	0.012382	0.982084	
BAM32772.1	OTHER	0.008997	0.000454	0.001938	0.988611	
BAM32776.1	OTHER	0.218741	0.000575	0.022214	0.758470	
BAM32794.1	OTHER	0.003327	0.000814	0.000671	0.995188	
BAM32798.1	SP(Sec/SPI)	0.932250	0.000476	0.051805	0.015470	CS pos: 16-17. SQA-FD. Pr: 0.9048
BAM32808.1	OTHER	0.001493	0.000447	0.000307	0.997754	
BAM32809.1	OTHER	0.010778	0.004525	0.002122	0.982576	
BAM32810.1	OTHER	0.001335	0.000255	0.001072	0.997339	
BAM32812.1	SP(Sec/SPI)	0.922785	0.000360	0.051733	0.025122	CS pos: 16-17. LFA-ND. Pr: 0.9361
BAM32813.1	SP(Sec/SPI)	0.972963	0.000257	0.022709	0.004072	CS pos: 17-18. TFA-QN. Pr: 0.9619
BAM32820.1	LIPO(Sec/SPII)	0.001362	0.000058	0.997611	0.000968	CS pos: 19-20. ITS-CG. Pr: 0.9983
BAM32822.1	LIPO(Sec/SPII)	0.016706	0.000110	0.981690	0.001494	CS pos: 19-20. CAS-CG. Pr: 0.9170
BAM32829.1	OTHER	0.002229	0.000976	0.000675	0.996120	
BAM32833.1	OTHER	0.009884	0.082050	0.004451	0.903615	
BAM32834.1	OTHER	0.003310	0.000281	0.000508	0.995901	
BAM32835.1	OTHER	0.003775	0.000175	0.000366	0.995684	
BAM32837.1	OTHER	0.002146	0.001169	0.000312	0.996373	
BAM32838.1	OTHER	0.003885	0.000526	0.001136	0.994454	
BAM32839.1	OTHER	0.001564	0.001228	0.000315	0.996894	
BAM32840.1	OTHER	0.008721	0.009271	0.000809	0.981199	
BAM32841.1	OTHER	0.002036	0.000485	0.000349	0.997130	
BAM32843.1	OTHER	0.012320	0.001858	0.003787	0.982035	
BAM32844.1	OTHER	0.001928	0.000276	0.000369	0.997426	
BAM32845.1	OTHER	0.005692	0.006174	0.000790	0.987344	
BAM32846.1	OTHER	0.002097	0.001133	0.000941	0.995830	
BAM32849.1	OTHER	0.003449	0.000207	0.002648	0.993697	
BAM32850.1	OTHER	0.010195	0.000168	0.002154	0.987483	
BAM32851.1	OTHER	0.004293	0.000255	0.000945	0.994507	
BAM32852.1	OTHER	0.005264	0.000593	0.000547	0.993596	
BAM32853.1	OTHER	0.004376	0.000785	0.000858	0.993981	
BAM32854.1	OTHER	0.005531	0.000474	0.001180	0.992814	
BAM32855.1	OTHER	0.020840	0.003585	0.013372	0.962203	
BAM32856.1	OTHER	0.001397	0.000549	0.000283	0.997771	
BAM32857.1	OTHER	0.001112	0.000553	0.000261	0.998075	
BAM32858.1	OTHER	0.001941	0.001437	0.000425	0.996198	
BAM32859.1	OTHER	0.021122	0.009976	0.013327	0.955576	
BAM32860.1	OTHER	0.004129	0.001500	0.000672	0.993699	
BAM32861.1	OTHER	0.010887	0.004272	0.004424	0.980416	
BAM32862.1	OTHER	0.003646	0.002410	0.000679	0.993265	
BAM32863.1	OTHER	0.005885	0.003526	0.000870	0.989719	
BAM32864.1	OTHER	0.002296	0.000452	0.000604	0.996648	
BAM32865.1	OTHER	0.006614	0.002727	0.001250	0.989409	
BAM32866.1	OTHER	0.017738	0.002609	0.002592	0.977061	
BAM32867.1	OTHER	0.016519	0.000710	0.001734	0.981038	
BAM32868.1	SP(Sec/SPI)	0.968178	0.000960	0.028657	0.002205	CS pos: 20-21. AVA-FS. Pr: 0.7758
BAM32869.1	OTHER	0.041601	0.001035	0.005849	0.951515	
BAM32870.1	OTHER	0.009667	0.005014	0.000962	0.984356	
BAM32871.1	OTHER	0.004462	0.000500	0.000772	0.994266	
BAM32872.1	OTHER	0.050122	0.002502	0.005427	0.941950	
BAM32873.1	OTHER	0.001371	0.000496	0.000312	0.997822	
BAM32874.1	OTHER	0.018924	0.001272	0.002384	0.977420	
BAM32875.1	OTHER	0.005084	0.000595	0.003029	0.991293	
BAM32876.1	OTHER	0.009756	0.003788	0.002256	0.984200	
BAM32877.1	OTHER	0.009539	0.011851	0.002193	0.976417	
BAM32878.1	OTHER	0.005847	0.003225	0.002390	0.988538	
BAM32880.1	OTHER	0.011332	0.005397	0.001107	0.982164	
BAM32881.1	OTHER	0.007144	0.000929	0.000417	0.991511	
BAM32882.1	OTHER	0.007496	0.006762	0.001110	0.984632	
BAM32883.1	OTHER	0.036960	0.000730	0.002682	0.959628	
BAM32884.1	OTHER	0.002167	0.000561	0.002284	0.994988	
BAM32885.1	OTHER	0.002513	0.002280	0.000442	0.994764	
BAM32886.1	OTHER	0.006612	0.000295	0.002181	0.990912	
BAM32887.1	OTHER	0.002750	0.001397	0.000351	0.995502	
BAM32888.1	OTHER	0.001849	0.000523	0.000408	0.997220	
BAM32889.1	OTHER	0.003461	0.001125	0.000505	0.994910	
BAM32890.1	OTHER	0.002336	0.000545	0.000347	0.996773	
BAM32891.1	OTHER	0.002997	0.004126	0.000314	0.992563	
BAM32892.1	OTHER	0.001841	0.000473	0.000426	0.997260	
BAM32893.1	OTHER	0.004290	0.006725	0.000529	0.988457	
BAM32894.1	OTHER	0.004594	0.000276	0.000456	0.994673	
BAM32895.1	OTHER	0.008843	0.009461	0.001817	0.979879	
BAM32896.1	OTHER	0.001671	0.001401	0.000258	0.996669	
BAM32897.1	OTHER	0.000282	0.000080	0.000638	0.999000	
BAM32898.1	OTHER	0.002775	0.001934	0.000409	0.994882	
BAM32899.1	OTHER	0.001461	0.000310	0.003693	0.994535	
BAM32900.1	OTHER	0.056731	0.001259	0.005385	0.936625	
BAM32901.1	OTHER	0.004674	0.000429	0.000351	0.994546	
BAM32902.1	OTHER	0.004637	0.004289	0.001522	0.989552	
BAM32903.1	OTHER	0.003131	0.001439	0.000449	0.994980	
BAM32904.1	OTHER	0.020651	0.013370	0.006812	0.959167	
BAM32905.1	OTHER	0.003951	0.001188	0.000929	0.993932	
BAM32906.1	OTHER	0.006831	0.005715	0.001275	0.986179	
BAM32907.1	OTHER	0.049035	0.073246	0.021587	0.856132	
BAM32908.1	OTHER	0.053793	0.042607	0.014626	0.888974	
BAM32909.1	OTHER	0.000683	0.000178	0.000501	0.998638	
BAM32910.1	OTHER	0.003060	0.000193	0.001401	0.995346	
BAM32911.1	OTHER	0.001549	0.000255	0.000223	0.997972	
BAM32912.1	SP(Sec/SPI)	0.968141	0.000693	0.005919	0.025248	CS pos: 21-22. ASA-QS. Pr: 0.8071
BAM32913.1	OTHER	0.022555	0.042637	0.001600	0.933208	
BAM32914.1	OTHER	0.170603	0.002996	0.027881	0.798521	
BAM32915.1	OTHER	0.002680	0.000223	0.000379	0.996718	
BAM32916.1	OTHER	0.000805	0.000218	0.000140	0.998838	
BAM32917.1	OTHER	0.001746	0.001005	0.000329	0.996920	
BAM32918.1	OTHER	0.005356	0.000931	0.001318	0.992396	
BAM32919.1	OTHER	0.005100	0.004489	0.001198	0.989214	
BAM32920.1	OTHER	0.227280	0.005007	0.350274	0.417438	
BAM32921.1	OTHER	0.017735	0.012911	0.006393	0.962961	
BAM32922.1	OTHER	0.081930	0.000993	0.052932	0.864146	
BAM32923.1	OTHER	0.320063	0.212478	0.027407	0.440052	
BAM32924.1	OTHER	0.002081	0.002645	0.000548	0.994725	
BAM32925.1	OTHER	0.002643	0.000391	0.001919	0.995048	
BAM32930.1	OTHER	0.001715	0.002281	0.000396	0.995609	
BAM32940.1	OTHER	0.002341	0.001068	0.000333	0.996258	
BAM32941.1	OTHER	0.007088	0.003214	0.001161	0.988537	
BAM32956.1	LIPO(Sec/SPII)	0.003192	0.000045	0.996545	0.000219	CS pos: 16-17. FSA-CF. Pr: 0.9976
BAM32957.1	LIPO(Sec/SPII)	0.000507	0.000039	0.999339	0.000116	CS pos: 16-17. FAA-CS. Pr: 0.9997
BAM32971.1	OTHER	0.001666	0.000712	0.000632	0.996991	
BAM32972.1	OTHER	0.005581	0.002689	0.002736	0.988995	
BAM32977.1	OTHER	0.105657	0.005109	0.006101	0.883133	
BAM32981.1	OTHER	0.060442	0.019662	0.014774	0.905122	
BAM32986.1	OTHER	0.008138	0.005967	0.003939	0.981956	
BAM32990.1	LIPO(Sec/SPII)	0.013186	0.000141	0.985935	0.000738	CS pos: 24-25. LNG-CN. Pr: 0.9870
BAM32991.1	OTHER	0.003713	0.000968	0.000822	0.994497	
BAM32992.1	OTHER	0.003750	0.001875	0.001198	0.993176	
BAM32994.1	OTHER	0.006008	0.002886	0.002192	0.988914	
BAM32995.1	OTHER	0.002122	0.000808	0.000270	0.996801	
BAM32996.1	OTHER	0.005121	0.001212	0.000873	0.992793	
BAM32997.1	OTHER	0.033196	0.009998	0.009688	0.947118	
BAM32998.1	OTHER	0.026127	0.002012	0.004908	0.966953	
BAM32999.1	OTHER	0.020175	0.001061	0.002300	0.976465	
BAM33008.1	OTHER	0.007135	0.002868	0.001830	0.988167	
BAM33026.1	OTHER	0.002161	0.000513	0.000485	0.996841	
BAM33031.1	OTHER	0.028911	0.006594	0.007771	0.956724	
BAM33039.1	SP(Sec/SPI)	0.963672	0.000219	0.030393	0.005715	CS pos: 16-17. AYA-KD. Pr: 0.9561
BAM33049.1	OTHER	0.000974	0.000126	0.000192	0.998708	
BAM33050.1	OTHER	0.001070	0.000315	0.000208	0.998407	
BAM33058.1	LIPO(Sec/SPII)	0.001011	0.000083	0.998474	0.000432	CS pos: 16-17. LTS-CS. Pr: 0.9993
BAM33063.1	OTHER	0.003146	0.004802	0.000396	0.991656	
BAM33064.1	OTHER	0.000961	0.000441	0.001621	0.996976	
BAM33066.1	OTHER	0.017048	0.001989	0.005720	0.975244	
BAM33067.1	OTHER	0.010626	0.002427	0.002147	0.984800	
BAM33068.1	OTHER	0.022954	0.001206	0.017930	0.957910	
BAM33069.1	OTHER	0.001558	0.000906	0.000189	0.997347	
BAM33071.1	OTHER	0.008171	0.018852	0.001259	0.971718	
BAM33072.1	OTHER	0.014059	0.001747	0.002734	0.981459	
BAM33073.1	OTHER	0.002417	0.001985	0.000351	0.995246	
BAM33074.1	OTHER	0.032205	0.017657	0.005316	0.944822	
BAM33076.1	OTHER	0.003074	0.000805	0.000559	0.995563	
BAM33078.1	OTHER	0.015556	0.009641	0.002400	0.972404	
BAM33079.1	OTHER	0.041454	0.071988	0.004703	0.881855	
BAM33080.1	OTHER	0.002011	0.001184	0.000449	0.996356	
BAM33081.1	OTHER	0.002413	0.000239	0.001315	0.996033	
BAM33082.1	OTHER	0.014106	0.005210	0.005315	0.975369	
BAM33083.1	OTHER	0.002128	0.000613	0.000305	0.996954	
BAM33086.1	OTHER	0.003073	0.000743	0.000831	0.995353	
BAM33087.1	OTHER	0.001764	0.000541	0.000236	0.997459	
BAM33088.1	OTHER	0.002548	0.002077	0.000388	0.994987	
BAM33090.1	OTHER	0.059731	0.008556	0.008669	0.923044	
BAM33092.1	SP(Sec/SPI)	0.950685	0.010492	0.024149	0.014674	CS pos: 20-21. VAA-EN. Pr: 0.7586
BAM33093.1	OTHER	0.064846	0.000722	0.005147	0.929284	
BAM33094.1	OTHER	0.001398	0.000181	0.000224	0.998197	
BAM33095.1	OTHER	0.008361	0.004069	0.001971	0.985599	
BAM33096.1	OTHER	0.011502	0.001705	0.001747	0.985046	
BAM33099.1	OTHER	0.015908	0.002540	0.002875	0.978676	
BAM33100.1	OTHER	0.003013	0.002521	0.000582	0.993884	
BAM33102.1	OTHER	0.002083	0.004547	0.000579	0.992791	
BAM33103.1	OTHER	0.036220	0.000445	0.005394	0.957941	
BAM33104.1	OTHER	0.002938	0.000269	0.001078	0.995715	
BAM33105.1	OTHER	0.004283	0.003322	0.000753	0.991642	
BAM33109.1	OTHER	0.009852	0.016721	0.001779	0.971648	
BAM33113.1	OTHER	0.123760	0.004961	0.008263	0.863016	
BAM33114.1	OTHER	0.004888	0.005017	0.000597	0.989498	
BAM33115.1	OTHER	0.002405	0.000160	0.000445	0.996991	
BAM33119.1	OTHER	0.014819	0.001890	0.001806	0.981485	
BAM33136.1	OTHER	0.148264	0.001659	0.118359	0.731718	
BAM33139.1	OTHER	0.011427	0.001992	0.003599	0.982982	
BAM33142.1	OTHER	0.012349	0.002718	0.001534	0.983399	
BAM33143.1	OTHER	0.011977	0.094988	0.001808	0.891227	
BAM33144.1	OTHER	0.009310	0.000345	0.001957	0.988388	
BAM33147.1	OTHER	0.006663	0.003767	0.001378	0.988192	
BAM33148.1	OTHER	0.002470	0.012333	0.000520	0.984677	
BAM33151.1	OTHER	0.001751	0.000765	0.000158	0.997326	
BAM33154.1	OTHER	0.002824	0.000353	0.002796	0.994027	
BAM33155.1	OTHER	0.003238	0.001672	0.000928	0.994161	
BAM33156.1	OTHER	0.002478	0.001419	0.000572	0.995532	
BAM33159.1	OTHER	0.021038	0.000257	0.004660	0.974045	
BAM33165.1	SP(Sec/SPI)	0.958025	0.000955	0.004378	0.036643	CS pos: 22-23. AIA-DD. Pr: 0.8416
BAM33166.1	OTHER	0.018808	0.001059	0.002681	0.977452	
BAM33169.1	OTHER	0.046952	0.000295	0.005786	0.946967	
BAM33174.1	OTHER	0.003034	0.000405	0.001003	0.995558	
BAM33185.1	LIPO(Sec/SPII)	0.001823	0.000115	0.997718	0.000344	CS pos: 23-24. LAG-CF. Pr: 0.9971
BAM33194.1	OTHER	0.033052	0.000522	0.003323	0.963102	
BAM33199.1	OTHER	0.020193	0.036285	0.002696	0.940826	
BAM33212.1	OTHER	0.035880	0.001479	0.003896	0.958746	
BAM33213.1	OTHER	0.008895	0.001511	0.000415	0.989179	
BAM33214.1	OTHER	0.071867	0.001230	0.029606	0.897297	
BAM33215.1	OTHER	0.020472	0.000549	0.006244	0.972736	
BAM33216.1	OTHER	0.004680	0.000226	0.000609	0.994485	
BAM33217.1	OTHER	0.002636	0.000976	0.000286	0.996103	
BAM33218.1	OTHER	0.011031	0.008936	0.003700	0.976333	
BAM33219.1	OTHER	0.021094	0.001980	0.030165	0.946761	
BAM33220.1	OTHER	0.002579	0.003081	0.000366	0.993973	
BAM33221.1	OTHER	0.015705	0.000982	0.003951	0.979362	
BAM33223.1	OTHER	0.003423	0.000403	0.000890	0.995284	
BAM33225.1	OTHER	0.001206	0.000524	0.001135	0.997134	
BAM33236.1	OTHER	0.001886	0.000934	0.000201	0.996979	
BAM33238.1	OTHER	0.022697	0.011878	0.006268	0.959156	
BAM33240.1	OTHER	0.007414	0.005524	0.001401	0.985662	
BAM33241.1	OTHER	0.012582	0.004733	0.002523	0.980161	
BAM33242.1	OTHER	0.003632	0.000339	0.000586	0.995443	
BAM33244.1	OTHER	0.007022	0.001788	0.001728	0.989462	
BAM33245.1	SP(Sec/SPI)	0.690652	0.000510	0.104372	0.204465	CS pos: 20-21. IIA-SQ. Pr: 0.4969
BAM33246.1	OTHER	0.015050	0.029335	0.003586	0.952030	
BAM33247.1	OTHER	0.001149	0.001542	0.000145	0.997164	
BAM33249.1	OTHER	0.023546	0.003087	0.010842	0.962525	
BAM33250.1	OTHER	0.001370	0.001090	0.000192	0.997348	
BAM33251.1	OTHER	0.032305	0.008619	0.080190	0.878885	
BAM33252.1	OTHER	0.006700	0.001445	0.001654	0.990201	
BAM33254.1	OTHER	0.006648	0.002784	0.003587	0.986980	
BAM33256.1	OTHER	0.019981	0.001221	0.001320	0.977478	
BAM33257.1	SP(Sec/SPI)	0.992948	0.000361	0.004223	0.002469	CS pos: 22-23. VIA-DD. Pr: 0.9738
BAM33258.1	OTHER	0.010313	0.005004	0.003665	0.981018	
BAM33260.1	OTHER	0.004817	0.001455	0.001699	0.992029	
BAM33262.1	OTHER	0.002335	0.000474	0.000684	0.996507	
BAM33266.1	OTHER	0.020972	0.001574	0.002872	0.974582	
BAM33279.1	LIPO(Sec/SPII)	0.003327	0.000108	0.995304	0.001260	CS pos: 16-17. MNG-CA. Pr: 0.9969
BAM33280.1	OTHER	0.004646	0.003155	0.001200	0.990998	
BAM33291.1	OTHER	0.003606	0.000533	0.000450	0.995411	
BAM33292.1	OTHER	0.085274	0.030037	0.027882	0.856806	
BAM33294.1	OTHER	0.001350	0.003433	0.000697	0.994520	
BAM33302.1	OTHER	0.085414	0.010263	0.030749	0.873575	
BAM33308.1	SP(Sec/SPI)	0.865333	0.003749	0.013262	0.117655	CS pos: 24-25. AKA-FE. Pr: 0.7425
BAM33326.1	OTHER	0.031654	0.000652	0.003296	0.964397	
BAM33334.1	OTHER	0.012913	0.000609	0.013939	0.972539	
BAM33336.1	OTHER	0.005513	0.000875	0.001137	0.992475	
BAM33342.1	OTHER	0.006581	0.000946	0.007753	0.984720	
BAM33349.1	SP(Sec/SPI)	0.992272	0.000492	0.002940	0.004296	CS pos: 20-21. SYA-GD. Pr: 0.9727
BAM33358.1	OTHER	0.002005	0.000281	0.000515	0.997199	
BAM33384.1	OTHER	0.014767	0.005109	0.004261	0.975863	
BAM33393.1	OTHER	0.010615	0.000651	0.041404	0.947330	
BAM33395.1	OTHER	0.003737	0.000263	0.000786	0.995214	
BAM33397.1	OTHER	0.005649	0.002391	0.000912	0.991047	
BAM33398.1	OTHER	0.033004	0.001235	0.003055	0.962706	
BAM33399.1	OTHER	0.004883	0.000253	0.000214	0.994650	
BAM33403.1	LIPO(Sec/SPII)	0.173102	0.001259	0.686430	0.139209	CS pos: 16-17. SYR-CG. Pr: 0.6552
BAM33412.1	OTHER	0.005506	0.002483	0.000704	0.991308	
BAM33429.1	OTHER	0.002958	0.001129	0.000287	0.995626	
BAM33430.1	OTHER	0.005612	0.008151	0.002757	0.983480	
BAM33437.1	OTHER	0.009107	0.000353	0.001310	0.989231	
BAM33438.1	OTHER	0.007095	0.001674	0.001509	0.989723	
BAM33440.1	SP(Sec/SPI)	0.794030	0.000624	0.157407	0.047939	CS pos: 17-18. AFG-LE. Pr: 0.5064
BAM33441.1	OTHER	0.010906	0.005022	0.001714	0.982357	
BAM33443.1	LIPO(Sec/SPII)	0.019179	0.000401	0.704572	0.275848	CS pos: 21-22. GLA-CA. Pr: 0.7019
BAM33444.1	OTHER	0.008302	0.000852	0.057180	0.933666	
BAM33453.1	OTHER	0.061381	0.002832	0.005780	0.930008	
BAM33454.1	OTHER	0.082931	0.008351	0.015703	0.893016	
BAM33455.1	OTHER	0.014874	0.000403	0.009977	0.974746	
BAM33466.1	OTHER	0.060703	0.069192	0.005555	0.864549	
BAM33469.1	OTHER	0.002799	0.000109	0.001016	0.996076	
BAM33470.1	OTHER	0.044474	0.000388	0.004275	0.950863	
BAM33481.1	OTHER	0.002233	0.000340	0.000311	0.997115	
BAM33494.1	OTHER	0.001484	0.000172	0.000353	0.997991	
BAM33502.1	OTHER	0.041914	0.003789	0.005150	0.949147	
BAM33514.1	OTHER	0.020988	0.001772	0.006110	0.971130	
BAM33515.1	OTHER	0.018967	0.038902	0.001985	0.940146	
BAM33516.1	OTHER	0.009052	0.002998	0.002353	0.985597	
BAM33517.1	OTHER	0.065833	0.034655	0.052136	0.847376	
BAM33518.1	OTHER	0.144064	0.018973	0.013397	0.823566	
BAM33519.1	OTHER	0.112011	0.006919	0.010522	0.870548	
BAM33533.1	OTHER	0.007082	0.033243	0.001169	0.958507	
BAM33536.1	OTHER	0.082537	0.020159	0.013384	0.883919	
BAM33538.1	LIPO(Sec/SPII)	0.094164	0.002283	0.819732	0.083821	CS pos: 15-16. IST-CP. Pr: 0.8146
BAM33539.1	OTHER	0.022827	0.023162	0.003287	0.950724	
BAM33555.1	LIPO(Sec/SPII)	0.361926	0.000259	0.637168	0.000646	CS pos: 17-18. SVS-CY. Pr: 0.6368
BAM33556.1	OTHER	0.095322	0.028081	0.009864	0.866732	
BAM33563.1	SP(Sec/SPI)	0.964305	0.000591	0.030401	0.004703	CS pos: 19-20. AKA-HS. Pr: 0.6710
BAM33564.1	SP(Sec/SPI)	0.357450	0.126882	0.270186	0.245482	CS pos: 24-25. LLC-AK. Pr: 0.1350
BAM33567.1	SP(Sec/SPI)	0.964389	0.000689	0.029754	0.005168	CS pos: 21-22. LIA-ES. Pr: 0.7248
BAM33574.1	OTHER	0.004542	0.000157	0.000693	0.994608	
BAM33576.1	OTHER	0.011999	0.000667	0.001091	0.986243	
BAM33580.1	SP(Sec/SPI)	0.991875	0.000133	0.007043	0.000949	CS pos: 20-21. SYA-EQ. Pr: 0.9853
BAM33581.1	OTHER	0.000761	0.000231	0.001803	0.997205	
BAM33582.1	OTHER	0.053993	0.000807	0.007944	0.937256	
